GEOID,MUNICIPALITY,STATE,WEBSITE_AVAILABLE,WEBSITE_URL
1600000US1608830,Boise City,Idaho,1,https://www.cityofboise.org/
1600000US0626000,Fremont,California,1,https://www.fremont.gov/
1600000US5367000,Spokane,Washington,1,https://my.spokanecity.org/
1600000US0669088,Santa Clarita,California,1,https://www.santa-clarita.com/
1600000US2205000,Baton Rouge,Louisiana,1,https://www.brla.gov/
1600000US5167000,Richmond,Virginia,1,http://www.richmondgov.com/
1600000US1230000,Hialeah,Florida,1,https://www.hialeahfl.gov/
1600000US0665000,San Bernardino,California,1,http://www.ci.san-bernardino.ca.us/
1600000US5370000,Tacoma,Washington,1,https://www.cityoftacoma.org/
1600000US0648354,Modesto,California,1,https://www.modestogov.com/
1600000US0137000,Huntsville,Alabama,1,https://www.huntsvilleal.gov/
1600000US1921000,Des Moines,Iowa,1,https://www.dsm.city/
1600000US3684000,Yonkers,New York,1,https://www.yonkersny.gov/
1600000US3663000,Rochester,New York,1,https://www.cityofrochester.gov/
1600000US0649270,Moreno Valley,California,1,http://www.moval.org/
1600000US3722920,Fayetteville,North Carolina,1,https://www.fayettevillenc.gov/
1600000US0624680,Fontana,California,1,https://www.fontana.org/
1600000US1319000,Columbus,Georgia,1,https://www.columbusga.gov/
1600000US2582000,Worcester,Massachusetts,1,http://www.worcesterma.gov/
1600000US1258715,Port St. Lucie,Florida,1,https://www.cityofpsl.com/
1600000US0541000,Little Rock,Arkansas,1,https://www.littlerock.gov/
1600000US1304204,Augusta-Richmond County consolidated government (balance),Georgia,1,https://www.augustaga.gov/
1600000US0654652,Oxnard,California,1,https://www.oxnard.org/
1600000US0107000,Birmingham,Alabama,1,https://www.birminghamal.gov/
1600000US0151000,Montgomery,Alabama,1,https://www.montgomeryal.gov/
1600000US4827684,Frisco,Texas,1,https://friscotexas.gov/
1600000US4803000,Amarillo,Texas,1,https://www.amarillo.gov/
1600000US4967000,Salt Lake City,Utah,1,https://www.slc.gov/
1600000US2634000,Grand Rapids,Michigan,1,https://www.grandrapidsmi.gov/
1600000US0636000,Huntington Beach,California,1,https://www.huntingtonbeachca.gov/
1600000US2053775,Overland Park,Kansas,1,https://www.opkansas.org/
1600000US0630000,Glendale,California,1,https://www.glendaleca.gov/
1600000US1270600,Tallahassee,Florida,1,https://talgov.com/
